model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Claude Sonnet 4.6,Anthropic,Large,Blade Runner,1982,Blade Runner (1982),B,0.2324,1.8341296761770365,14,347
Claude Sonnet 4.6,Anthropic,Large,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.2321,1.8317620338075258,15,318
Claude Sonnet 4.6,Anthropic,Large,Pather Panchali,1955,Pather Panchali (1955),B,0.2286,1.8041395394965671,16,364
Claude Sonnet 4.6,Anthropic,Large,WALL-E,2008,WALL-E (2008),A,0.2278,1.7978258265112053,17,320
Claude Sonnet 4.6,Anthropic,Large,The Seventh Seal,1957,The Seventh Seal (1957),B,0.2277,1.797036612388035,18,328
Claude Sonnet 4.6,Anthropic,Large,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.2209,1.7433700520124582,19,286
Claude Sonnet 4.6,Anthropic,Large,Pulp Fiction,1994,Pulp Fiction (1994),A,0.2203,1.7386347672734366,20,266
Claude Sonnet 4.6,Anthropic,Large,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.2196,1.733110268411245,21,289
Claude Sonnet 4.6,Anthropic,Large,Yojimbo,1961,Yojimbo (1961),B,0.2188,1.7267965554258828,22,279
Claude Sonnet 4.6,Anthropic,Large,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.2186,1.7252181271795424,23,328
Claude Sonnet 4.6,Anthropic,Large,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.2182,1.7220612706868614,24,306
Claude Sonnet 4.6,Anthropic,Large,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.2104,1.6605025690795823,25,349
Claude Sonnet 4.6,Anthropic,Large,Forrest Gump,1994,Forrest Gump (1994),A,0.2034,1.605257580457665,26,340
Claude Sonnet 4.6,Anthropic,Large,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,0.195,1.5389635941113644,27,321
Claude Sonnet 4.6,Anthropic,Large,M,1931,M (1931),B,0.1803,1.4229491180053382,28,323
Claude Sonnet 4.6,Anthropic,Large,The Matrix,1999,The Matrix (1999),A,0.1691,1.3345571362102706,29,344
Claude Sonnet 4.6,Anthropic,Large,Persona,1966,Persona (1966),B,0.1578,1.2453759402920328,30,277
Claude Sonnet 4.6,Anthropic,Large,Parasite,2019,Parasite (2019),A,0.1569,1.2382730131835007,31,359
Claude Sonnet 4.6,Anthropic,Large,The Dark Knight,2008,The Dark Knight (2008),A,0.1558,1.229591657828628,32,340
Claude Sonnet 4.6,Anthropic,Large,Coco,2017,Coco (2017),C,0.1521,1.2003907352713288,33,360
Claude Sonnet 4.6,Anthropic,Large,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.1498,1.182238810438413,34,291
Claude Sonnet 4.6,Anthropic,Large,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.1435,1.1325183206786875,35,345
Claude Sonnet 4.6,Anthropic,Large,The Ascent,1977,The Ascent (1977),B,0.1369,1.0804301885494514,36,269
Claude Sonnet 4.6,Anthropic,Large,Beau Travail,1999,Beau Travail (1999),B,0.1258,0.9928274208775539,37,268
Claude Sonnet 4.6,Anthropic,Large,Ratatouille,2007,Ratatouille (2007),C,0.1239,0.9778323525373191,38,319
Claude Sonnet 4.6,Anthropic,Large,Star Wars,1977,Star Wars (1977),A,0.1218,0.9612588559507441,39,300
Claude Sonnet 4.6,Anthropic,Large,Vivre sa vie,1962,Vivre sa vie (1962),B,0.121,0.954945142965382,40,316
Claude Sonnet 4.6,Anthropic,Large,The Conformist,1970,The Conformist (1970),B,0.1071,0.8452443798447179,41,256
Claude Sonnet 4.6,Anthropic,Large,Withnail & I,1987,Withnail & I (1987),B,0.1023,0.8073621019325461,42,324
Claude Sonnet 4.6,Anthropic,Large,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.0978,0.7718474663898849,43,322
Claude Sonnet 4.6,Anthropic,Large,Nostalghia,1983,Nostalghia (1983),B,0.0942,0.7434357579557561,44,336
Claude Sonnet 4.6,Anthropic,Large,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.0917,0.7237054048764999,45,264
Claude Sonnet 4.6,Anthropic,Large,Se7en,1995,Se7en (1995),A,0.089,0.7023966235509033,46,328
Claude Sonnet 4.6,Anthropic,Large,Sans Soleil,1983,Sans Soleil (1983),B,0.0817,0.6447839925594753,47,266
Claude Sonnet 4.6,Anthropic,Large,Day for Night,1973,Day for Night (1973),B,0.0772,0.6092693570168143,48,318
Claude Sonnet 4.6,Anthropic,Large,Inside Out,2015,Inside Out (2015),C,0.0735,0.5800684344595151,49,334
Claude Sonnet 4.6,Anthropic,Large,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.072,0.5682302226119614,50,303
Claude Sonnet 4.6,Anthropic,Large,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0689,0.5437645847936838,51,242
Claude Sonnet 4.6,Anthropic,Large,Solaris,1972,Solaris (1972),B,0.0652,0.5145636622363846,52,200
Claude Sonnet 4.6,Anthropic,Large,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0649,0.5121960198668739,53,278
Claude Sonnet 4.6,Anthropic,Large,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.0646,0.5098283774973632,54,284
Claude Sonnet 4.6,Anthropic,Large,All About My Mother,1999,All About My Mother (1999),B,0.0582,0.45931867361446743,55,305
Claude Sonnet 4.6,Anthropic,Large,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.0569,0.4490588900132542,56,196
Claude Sonnet 4.6,Anthropic,Large,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.0547,0.43169617930350884,57,334
Claude Sonnet 4.6,Anthropic,Large,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.0523,0.4127550403474229,58,246
Claude Sonnet 4.6,Anthropic,Large,La Belle et la Bête,1946,La Belle et la Bête (1946),B,0.0483,0.38118647542061307,59,240
Claude Sonnet 4.6,Anthropic,Large,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0465,0.36698062120354863,60,235
Claude Sonnet 4.6,Anthropic,Large,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0394,0.31094641845846116,61,221
Claude Sonnet 4.6,Anthropic,Large,Jurassic Park,1993,Jurassic Park (1993),A,0.0387,0.3054219195962694,62,247
Claude Sonnet 4.6,Anthropic,Large,Kes,1969,Kes (1969),B,0.0353,0.27858863940848105,63,180
Claude Sonnet 4.6,Anthropic,Large,Pyaasa,1957,Pyaasa (1957),B,0.0343,0.2706964981767786,64,285
Claude Sonnet 4.6,Anthropic,Large,Your Name.,2016,Your Name. (2016),C,0.0283,0.22334365078656382,65,261
Claude Sonnet 4.6,Anthropic,Large,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.0282,0.22255443666339358,66,276
Claude Sonnet 4.6,Anthropic,Large,Toy Story,1995,Toy Story (1995),A,0.0279,0.22018679429388285,67,250
Claude Sonnet 4.6,Anthropic,Large,The Gold Rush,1925,The Gold Rush (1925),B,0.0249,0.19651037059877544,68,188
Claude Sonnet 4.6,Anthropic,Large,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.0238,0.18782901524390275,69,281
Claude Sonnet 4.6,Anthropic,Large,Apollo 13,1995,Apollo 13 (1995),C,0.0224,0.1767800175195193,70,209
Claude Sonnet 4.6,Anthropic,Large,Saving Private Ryan,1998,Saving Private Ryan (1998),A,0.0222,0.1752015892731788,71,210
Claude Sonnet 4.6,Anthropic,Large,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0206,0.16257416330245486,72,233
Claude Sonnet 4.6,Anthropic,Large,Oldboy,2003,Oldboy (2003),B,0.0201,0.15862809268660363,73,242
Claude Sonnet 4.6,Anthropic,Large,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0194,0.1531035938244119,74,196
Claude Sonnet 4.6,Anthropic,Large,Breathless,1960,Breathless (1960),B,0.0168,0.1325840266219855,75,190
Claude Sonnet 4.6,Anthropic,Large,Ghostbusters,1984,Ghostbusters (1984),A,0.0164,0.12942717012930455,76,157
Claude Sonnet 4.6,Anthropic,Large,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0163,0.12863795600613426,77,180
Claude Sonnet 4.6,Anthropic,Large,Dances with Wolves,1990,Dances with Wolves (1990),C,0.0161,0.1270595277597938,78,165
Claude Sonnet 4.6,Anthropic,Large,A Clockwork Orange,1971,A Clockwork Orange (1971),B,0.0159,0.1254810995134533,79,167
Claude Sonnet 4.6,Anthropic,Large,Jaws,1975,Jaws (1975),A,0.0158,0.12469188539028306,80,188
Claude Sonnet 4.6,Anthropic,Large,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0154,0.12153502889760208,81,210
Claude Sonnet 4.6,Anthropic,Large,Oppenheimer,2023,Oppenheimer (2023),C,0.0143,0.11285367354272936,82,167
Claude Sonnet 4.6,Anthropic,Large,Star Trek,2009,Star Trek (2009),C,0.0141,0.11127524529638887,83,147
Claude Sonnet 4.6,Anthropic,Large,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.011,0.08680960747811124,84,172
Claude Sonnet 4.6,Anthropic,Large,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,0.0102,0.08049589449274928,85,169
Claude Sonnet 4.6,Anthropic,Large,Days of Being Wild,1990,Days of Being Wild (1990),B,0.01,0.07891746624640879,86,168
Claude Sonnet 4.6,Anthropic,Large,The Fugitive,1993,The Fugitive (1993),C,0.0098,0.07733903800006829,87,212
Claude Sonnet 4.6,Anthropic,Large,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.0088,0.06944689676836582,88,158
Claude Sonnet 4.6,Anthropic,Large,Rain Man,1988,Rain Man (1988),C,0.0076,0.05997632729032287,89,167
Claude Sonnet 4.6,Anthropic,Large,Logan,2017,Logan (2017),C,0.006,0.04734890131959893,90,154
Claude Sonnet 4.6,Anthropic,Large,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,0.0047,0.03708911771838573,91,143
Claude Sonnet 4.6,Anthropic,Large,Terra em Transe,1967,Terra em Transe (1967),B,0.0038,0.029986190609853514,92,206
Claude Sonnet 4.6,Anthropic,Large,Batman,1989,Batman (1989),C,0.0022,0.017358764639129578,93,161
Claude Sonnet 4.6,Anthropic,Large,Caché,2005,Caché (2005),B,0.0015,0.011834265776937853,94,132
Claude Sonnet 4.6,Anthropic,Large,Los Olvidados,1950,Los Olvidados (1950),B,0.0,-3.946070615842034e-06,95,151
Claude Sonnet 4.6,Anthropic,Large,If….,1968,If…. (1968),B,-0.0009,-0.007106873179148058,96,158
Claude Sonnet 4.6,Anthropic,Large,The Green Ray,1986,The Green Ray (1986),B,-0.0023,-0.018155870903531504,97,190
Claude Sonnet 4.6,Anthropic,Large,The Social Network,2010,The Social Network (2010),A,-0.0024,-0.01894508502670175,98,170
Claude Sonnet 4.6,Anthropic,Large,The Wind,1928,The Wind (1928),B,-0.0037,-0.029204868627914955,99,143
Claude Sonnet 4.6,Anthropic,Large,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,-0.0041,-0.03236172512059594,100,142
Claude Sonnet 4.6,Anthropic,Large,Senso,1954,Senso (1954),B,-0.0044,-0.034729367490106675,101,144
Claude Sonnet 4.6,Anthropic,Large,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.0046,-0.036307795736447164,102,152
Claude Sonnet 4.6,Anthropic,Large,Pickpocket,1959,Pickpocket (1959),B,-0.0059,-0.04656757933766037,103,147
Claude Sonnet 4.6,Anthropic,Large,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.0074,-0.058405791185214065,104,148
Claude Sonnet 4.6,Anthropic,Large,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,-0.0087,-0.06866557478642726,105,137
Claude Sonnet 4.6,Anthropic,Large,Happy Together,1997,Happy Together (1997),B,-0.0101,-0.07971457251081071,106,150
Claude Sonnet 4.6,Anthropic,Large,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,-0.0105,-0.0828714290034917,107,170
Claude Sonnet 4.6,Anthropic,Large,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.0113,-0.08918514198885366,108,132
Claude Sonnet 4.6,Anthropic,Large,Videodrome,1983,Videodrome (1983),B,-0.0117,-0.09234199848153465,109,143
Claude Sonnet 4.6,Anthropic,Large,The Mummy,1999,The Mummy (1999),C,-0.0129,-0.1018125679595776,110,141
Claude Sonnet 4.6,Anthropic,Large,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,-0.0138,-0.10891549506810982,111,146
Claude Sonnet 4.6,Anthropic,Large,Gravity,2013,Gravity (2013),C,-0.0161,-0.1270674199010255,112,146
Claude Sonnet 4.6,Anthropic,Large,True Lies,1994,True Lies (1994),C,-0.0161,-0.1270674199010255,113,149
Claude Sonnet 4.6,Anthropic,Large,Home Alone,1990,Home Alone (1990),C,-0.0177,-0.13969484587174943,114,152
Claude Sonnet 4.6,Anthropic,Large,Get Out,2017,Get Out (2017),A,-0.0202,-0.1594251989510056,115,160
Claude Sonnet 4.6,Anthropic,Large,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.0225,-0.17757712378392124,116,146
Claude Sonnet 4.6,Anthropic,Large,A Bug's Life,1998,A Bug's Life (1998),C,-0.0233,-0.18389083676928322,117,145
Claude Sonnet 4.6,Anthropic,Large,Brave,2012,Brave (2012),C,-0.025,-0.19730747686317743,118,143
Claude Sonnet 4.6,Anthropic,Large,Taste of Cherry,1997,Taste of Cherry (1997),B,-0.0256,-0.2020427616021989,119,147
Claude Sonnet 4.6,Anthropic,Large,Death in Venice,1971,Death in Venice (1971),B,-0.0275,-0.21703782994243356,120,153
Claude Sonnet 4.6,Anthropic,Large,Speed,1994,Speed (1994),C,-0.0279,-0.22019468643511456,121,133
Claude Sonnet 4.6,Anthropic,Large,The Revenant,2015,The Revenant (2015),C,-0.0314,-0.24781718074607315,122,142
Claude Sonnet 4.6,Anthropic,Large,Europa '51,1952,Europa '51 (1952),B,-0.0419,-0.330684663678949,123,131
Claude Sonnet 4.6,Anthropic,Large,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,-0.0456,-0.35988558623624817,124,171
Claude Sonnet 4.6,Anthropic,Large,Joker,2019,Joker (2019),C,-0.0501,-0.3954002217789092,125,146
Claude Sonnet 4.6,Anthropic,Large,The Gleaners & I,2000,The Gleaners & I (2000),B,-0.0502,-0.39618943590207945,126,140
Claude Sonnet 4.6,Anthropic,Large,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.0509,-0.4017139347642712,127,151
Claude Sonnet 4.6,Anthropic,Large,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.0514,-0.4056600053801224,128,151
Claude Sonnet 4.6,Anthropic,Large,Underground,1995,Underground (1995),B,-0.0515,-0.40644921950329266,129,157
Claude Sonnet 4.6,Anthropic,Large,Top Gun,1986,Top Gun (1986),C,-0.0541,-0.4269687867057191,130,134
Claude Sonnet 4.6,Anthropic,Large,Titanic,1997,Titanic (1997),A,-0.0609,-0.48063534708129585,131,147
Claude Sonnet 4.6,Anthropic,Large,The Bodyguard,1992,The Bodyguard (1992),C,-0.0647,-0.5106254837617651,132,142
Claude Sonnet 4.6,Anthropic,Large,Tarzan,1999,Tarzan (1999),C,-0.0658,-0.5193068391166379,133,146
Claude Sonnet 4.6,Anthropic,Large,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0668,-0.5271989803483403,134,169
Claude Sonnet 4.6,Anthropic,Large,The Croods,2013,The Croods (2013),C,-0.0744,-0.587179253709279,135,146
Claude Sonnet 4.6,Anthropic,Large,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.08,-0.6313752446068128,136,155
Claude Sonnet 4.6,Anthropic,Large,Shoah,1985,Shoah (1985),B,-0.0802,-0.6329536728531533,137,168
Claude Sonnet 4.6,Anthropic,Large,Twister,1996,Twister (1996),C,-0.0804,-0.6345321010994938,138,153
Claude Sonnet 4.6,Anthropic,Large,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,-0.0843,-0.6653114519031335,139,161
Claude Sonnet 4.6,Anthropic,Large,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0857,-0.6763604496275168,140,149
Claude Sonnet 4.6,Anthropic,Large,Independence Day,1996,Independence Day (1996),C,-0.088,-0.6945123744604325,141,158
Claude Sonnet 4.6,Anthropic,Large,National Treasure,2004,National Treasure (2004),C,-0.0931,-0.7347622947421151,142,145
Claude Sonnet 4.6,Anthropic,Large,The Crowd,1928,The Crowd (1928),B,-0.1037,-0.8184189917981612,143,168
Claude Sonnet 4.6,Anthropic,Large,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.1037,-0.8184189917981612,144,161
Claude Sonnet 4.6,Anthropic,Large,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.1039,-0.8199974200445017,145,168
Claude Sonnet 4.6,Anthropic,Large,American Beauty,1999,American Beauty (1999),A,-0.1049,-0.8278895612762041,146,163
Claude Sonnet 4.6,Anthropic,Large,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1053,-0.8310464177688852,147,148
Claude Sonnet 4.6,Anthropic,Large,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1113,-0.8783992651590998,148,156
Claude Sonnet 4.6,Anthropic,Large,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.1113,-0.8783992651590998,149,155
Claude Sonnet 4.6,Anthropic,Large,The Exorcist,1973,The Exorcist (1973),A,-0.1205,-0.9510069644907625,150,166
Claude Sonnet 4.6,Anthropic,Large,Stromboli,1950,Stromboli (1950),B,-0.1215,-0.958899105722465,151,156
Claude Sonnet 4.6,Anthropic,Large,Bambi,1942,Bambi (1942),A,-0.1224,-0.9660020328309972,152,173
Claude Sonnet 4.6,Anthropic,Large,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.1256,-0.9912568847724449,153,166
Claude Sonnet 4.6,Anthropic,Large,Lucy,2014,Lucy (2014),C,-0.1263,-0.9967813836346366,154,162
Claude Sonnet 4.6,Anthropic,Large,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.1264,-0.9975705977578071,155,170
Claude Sonnet 4.6,Anthropic,Large,Out 1,1971,Out 1 (1971),B,-0.1301,-1.026771520315106,156,172
Claude Sonnet 4.6,Anthropic,Large,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.1311,-1.0346636615468086,157,179
Claude Sonnet 4.6,Anthropic,Large,The Wolverine,2013,The Wolverine (2013),C,-0.1326,-1.0465018733943623,158,167
Claude Sonnet 4.6,Anthropic,Large,JFK,1991,JFK (1991),A,-0.1389,-1.0962223631540877,159,187
Claude Sonnet 4.6,Anthropic,Large,Die Another Day,2002,Die Another Day (2002),C,-0.1423,-1.1230556433418761,160,154
Claude Sonnet 4.6,Anthropic,Large,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1439,-1.1356830693126,161,145
Claude Sonnet 4.6,Anthropic,Large,Full River Red,2023,Full River Red (2023),C,-0.1444,-1.1396291399284513,162,146
Claude Sonnet 4.6,Anthropic,Large,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.1448,-1.1427859964211324,163,145
Claude Sonnet 4.6,Anthropic,Large,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.1449,-1.1435752105443024,164,169
Claude Sonnet 4.6,Anthropic,Large,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.1454,-1.1475212811601538,165,164
Claude Sonnet 4.6,Anthropic,Large,Zama,2017,Zama (2017),B,-0.1455,-1.1483104952833239,166,164
Claude Sonnet 4.6,Anthropic,Large,Sing,2016,Sing (2016),C,-0.1457,-1.1498889235296645,167,159
Claude Sonnet 4.6,Anthropic,Large,Superman Returns,2006,Superman Returns (2006),C,-0.146,-1.1522565658991752,168,148
Claude Sonnet 4.6,Anthropic,Large,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.1464,-1.1554134223918562,169,189
Claude Sonnet 4.6,Anthropic,Large,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1468,-1.1585702788845373,170,166
Claude Sonnet 4.6,Anthropic,Large,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.1472,-1.161727135377218,171,155
Claude Sonnet 4.6,Anthropic,Large,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1473,-1.1625163495003883,172,153
Claude Sonnet 4.6,Anthropic,Large,Intolerance,1916,Intolerance (1916),B,-0.1478,-1.1664624201162395,173,173
Claude Sonnet 4.6,Anthropic,Large,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.148,-1.1680408483625802,174,148
Claude Sonnet 4.6,Anthropic,Large,La Région centrale,1971,La Région centrale (1971),B,-0.1482,-1.1696192766089206,175,160
Claude Sonnet 4.6,Anthropic,Large,Avatar,2009,Avatar (2009),A,-0.1484,-1.171197704855261,176,172
Claude Sonnet 4.6,Anthropic,Large,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.1488,-1.174354561347942,177,173
Claude Sonnet 4.6,Anthropic,Large,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.1492,-1.1775114178406232,178,162
Claude Sonnet 4.6,Anthropic,Large,The Golden Compass,2007,The Golden Compass (2007),C,-0.1494,-1.1790898460869637,179,148
Claude Sonnet 4.6,Anthropic,Large,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1502,-1.1854035590723255,180,152
Claude Sonnet 4.6,Anthropic,Large,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1506,-1.1885604155650067,181,162
Claude Sonnet 4.6,Anthropic,Large,The Grinch,2018,The Grinch (2018),C,-0.151,-1.1917172720576874,182,168
Claude Sonnet 4.6,Anthropic,Large,Noah,2014,Noah (2014),C,-0.151,-1.1917172720576874,183,145
Claude Sonnet 4.6,Anthropic,Large,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1514,-1.1948741285503686,184,136
Claude Sonnet 4.6,Anthropic,Large,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.1514,-1.1948741285503686,185,157
Claude Sonnet 4.6,Anthropic,Large,Armageddon,1998,Armageddon (1998),C,-0.1516,-1.196452556796709,186,177
Claude Sonnet 4.6,Anthropic,Large,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.1517,-1.1972417709198793,187,140
Claude Sonnet 4.6,Anthropic,Large,Limite,1931,Limite (1931),B,-0.152,-1.19960941328939,188,150
Claude Sonnet 4.6,Anthropic,Large,The Meg,2018,The Meg (2018),C,-0.1533,-1.2098691968906032,189,137
Claude Sonnet 4.6,Anthropic,Large,2012,2009,2012 (2009),C,-0.1537,-1.2130260533832842,190,149
Claude Sonnet 4.6,Anthropic,Large,Cars 2,2011,Cars 2 (2011),C,-0.1588,-1.2532759736649668,191,142
Claude Sonnet 4.6,Anthropic,Large,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1617,-1.276163183236904,192,138
Claude Sonnet 4.6,Anthropic,Large,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1671,-1.3187807458880971,193,130
Claude Sonnet 4.6,Anthropic,Large,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1696,-1.3385110989673534,194,146
Claude Sonnet 4.6,Anthropic,Large,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1767,-1.3945453017124407,195,141
Claude Sonnet 4.6,Anthropic,Large,Uncharted,2022,Uncharted (2022),C,-0.1826,-1.4411089349794854,196,144
Claude Sonnet 4.6,Anthropic,Large,Pegasus 2,2024,Pegasus 2 (2024),C,-0.187,-1.4758343563989762,197,136
Claude Sonnet 4.6,Anthropic,Large,Monster Hunt,2015,Monster Hunt (2015),C,-0.2017,-1.5918488325050022,198,131
Claude Sonnet 4.6,Anthropic,Large,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.2058,-1.6242066115549825,199,129
Claude Sonnet 4.6,Anthropic,Large,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.2288,-1.805725859884139,200,131
GPT-5.4,OpenAI,Large,The Matrix,1999,The Matrix (1999),A,0.2738,1.9975307687658106,1,238
GPT-5.4,OpenAI,Large,Spirited Away,2001,Spirited Away (2001),A,0.2725,1.9880464062658727,2,151
GPT-5.4,OpenAI,Large,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.2697,1.9676185485736983,3,273
GPT-5.4,OpenAI,Large,High and Low,1963,High and Low (1963),B,0.2687,1.9603228851122074,4,166
GPT-5.4,OpenAI,Large,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.2686,1.9595933187660584,5,268
GPT-5.4,OpenAI,Large,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.2685,1.9588637524199093,6,222
GPT-5.4,OpenAI,Large,Amadeus,1984,Amadeus (1984),B,0.2667,1.9457315581892256,7,227
GPT-5.4,OpenAI,Large,Back to the Future,1985,Back to the Future (1985),A,0.2661,1.9413541601123312,8,231
GPT-5.4,OpenAI,Large,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.2648,1.9318697976123929,9,191
GPT-5.4,OpenAI,Large,The Godfather,1972,The Godfather (1972),A,0.2642,1.9274923995354984,10,260
GPT-5.4,OpenAI,Large,Ratatouille,2007,Ratatouille (2007),C,0.2637,1.923844567804753,11,269
GPT-5.4,OpenAI,Large,Blade Runner,1982,Blade Runner (1982),B,0.2617,1.9092532408817713,12,213
GPT-5.4,OpenAI,Large,Ran,1985,Ran (1985),B,0.261,1.904146276458728,13,283
GPT-5.4,OpenAI,Large,Parasite,2019,Parasite (2019),A,0.2607,1.9019575774202806,14,199
GPT-5.4,OpenAI,Large,Solaris,1972,Solaris (1972),B,0.2598,1.8953914803049388,15,239
GPT-5.4,OpenAI,Large,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.2591,1.8902845158818953,16,257
GPT-5.4,OpenAI,Large,WALL-E,2008,WALL-E (2008),A,0.2569,1.8742340562666155,17,291
GPT-5.4,OpenAI,Large,Pather Panchali,1955,Pather Panchali (1955),B,0.2544,1.8559948976128884,18,309
GPT-5.4,OpenAI,Large,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.2538,1.851617499535994,19,308
GPT-5.4,OpenAI,Large,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.2461,1.7954408908825141,20,384
GPT-5.4,OpenAI,Large,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.2417,1.7633399716519542,21,401
GPT-5.4,OpenAI,Large,Persona,1966,Persona (1966),B,0.2387,1.7414529812674817,22,317
GPT-5.4,OpenAI,Large,Star Wars,1977,Star Wars (1977),A,0.2321,1.693301602421642,23,328
GPT-5.4,OpenAI,Large,Yojimbo,1961,Yojimbo (1961),B,0.2319,1.691842469729344,24,306
GPT-5.4,OpenAI,Large,M,1931,M (1931),B,0.231,1.6852763726140023,25,290
GPT-5.4,OpenAI,Large,Jurassic Park,1993,Jurassic Park (1993),A,0.2285,1.6670372139602752,26,261
